,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
wtd_gmean_atomic_radius,0.4886567159866721,0.9130220911814657,0.0,-0.49394233122434617,0.005992682985133491,0.0001605702216378909
wtd_gmean_fie,0.41380096482228773,0.9137265851824437,0.0,-0.42057469626938526,0.006936086983612506,7.884316042927958e-07
wtd_mean_Density,0.4122890452078975,0.9132584624446074,0.0,-0.3942006828039433,-0.017739979538998554,0.00028288384099990085
wtd_mean_ElectronAffinity,0.35553115926626666,0.9138968356034367,0.0,-0.350542529695987,-0.005277754591745385,0.00028201856859203374
wtd_mean_FusionHeat,0.5065700071302,0.9136327718950449,0.0,-0.4850228670040793,-0.02117524770742999,-0.00011493516317249012
wtd_mean_ThermalConductivity,0.4099360106260526,0.9133816944941354,0.0,-0.35365165878561794,-0.055815584040435,3.9266856427656725e-05
wtd_mean_Valence,0.6472697564873279,0.9139976846724396,0.0,-0.5447661339883303,-0.10233054235118648,-0.00028103566968778787
wtd_mean_atomic_mass,0.3045120750305178,0.914057006140475,0.0,-0.2993544393033606,-0.005223904033762115,-0.0001010086833072016
wtd_mean_atomic_radius,0.3963636555880765,0.913695099178521,0.0,-0.40749016689607065,0.011351198773197948,-3.0057493161753087e-05
wtd_mean_fie,0.46121886108069554,0.9136891119871328,0.0,-0.4577430196534908,-0.0032650972815345997,-1.012698224007817e-05
wtd_range_Density,0.5072519768015665,0.9134488865132718,0.0,-0.48952591153673164,-0.01741739435861689,0.0001321717310731394
wtd_range_ElectronAffinity,0.4831200119116443,0.9137526020901066,0.0,-0.4866352218049198,0.003597398106721465,5.493884701037792e-05
wtd_range_FusionHeat,0.5306089628868054,0.9139413968078569,0.0,-0.5293330209252453,-0.0012105792450118407,-0.00011703037384248303
wtd_range_ThermalConductivity,0.5583780428632098,0.91400097191632,0.0,-0.5343047347189159,-0.024190790796909858,6.23988685872952e-06
wtd_range_Valence,0.509516428411925,0.9139784116653629,0.0,-0.49195686888959334,-0.017706180927513943,5.793889038199028e-05
wtd_range_atomic_mass,0.37104848069994617,0.9136988923230815,0.0,-0.36538700190111245,-0.005465355608110429,-5.286363241859057e-06
wtd_range_atomic_radius,0.3640252162928563,0.9137855486285841,0.0,-0.3600129671152074,-0.004100819095267967,0.00019275043959797786
wtd_range_fie,0.4167639125392848,0.9141047224402481,0.0,-0.42472029040223347,0.0075447656539736,0.00019661891928979855
wtd_std_Density,0.4497643796070935,0.9134256835920033,0.0,-0.44147204963352515,-0.00790714399946171,7.885958445305392e-05
wtd_std_ElectronAffinity,0.4924679231494935,0.9135867735775514,0.0,-0.481032489034928,-0.01132109671828163,0.00018861817672764672
wtd_std_FusionHeat,0.46488305679165287,0.9136754652161417,0.0,-0.4518882212890326,-0.012671157799569158,-0.00010941376862974441
wtd_std_ThermalConductivity,0.6564019431430829,0.9128308249309646,0.0,-0.5546507633939071,-0.10123157118749158,0.000539295657913811
wtd_std_Valence,0.42575641998934804,0.9136265826312895,0.0,-0.3830252095850633,-0.04248702935984143,1.89654748300241e-05
wtd_std_atomic_mass,0.39700302932123266,0.9138811975327088,0.0,-0.37875130525412426,-0.018400598875275113,0.00015740642602094583
wtd_std_atomic_radius,0.480444141685047,0.9136558888248355,0.0,-0.4441785384589613,-0.03583613119472953,-0.00019563170562874983
wtd_std_fie,0.5719696354353185,0.9134859771168107,0.0,-0.558059683477258,-0.01383322668360737,0.00032702675929921856
