,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
wtd_range_ThermalConductivity,0.020640965943946595,0.004496998926099368,0.0,0.01848481105551959,0.0028459217962292674,9.727390362706108e-05
wtd_range_Valence,0.02430205422874454,0.004741209147371713,0.0,0.025210827143625866,0.002626436516745579,0.00026813379862266116
wtd_range_atomic_mass,0.02885681650129301,0.004945222015441171,0.0,0.02896708101195744,0.001990134464544842,0.0002329631625581235
wtd_range_atomic_radius,0.02169492400486172,0.004977007987648015,0.0,0.02141258960605673,0.0015766601277041861,0.0006446160481916243
wtd_range_fie,0.01557461062746018,0.004681546316393205,0.0,0.017249707433199507,0.003484138070524221,0.00035589567268991626
wtd_std_Density,0.015340117127316873,0.005224352727726694,0.0,0.01627003002955431,0.0013630421267152454,0.00019963271086745013
wtd_std_ElectronAffinity,0.020081301415991404,0.004479722076238042,0.0,0.02124411854460435,0.0022898664237805903,0.0003840493902081522
wtd_std_FusionHeat,0.013884552361419564,0.004519214644526584,0.0,0.0143271387802679,0.001623761032284946,7.704209864909546e-05
wtd_std_ThermalConductivity,0.017355740023975993,0.005285548302332443,0.0,0.01536649113813865,0.0072573274772301305,0.0009189368298992247
wtd_std_Valence,0.014063659445657786,0.005127432581744394,0.0,0.012242413595872146,0.0025613972376206267,0.00030263816672417324
wtd_std_atomic_mass,0.018439665956261633,0.004783047470690978,0.0,0.019497474482027866,0.0023793328918968225,0.0002795994332409604
wtd_std_atomic_radius,0.015209494175225413,0.005565266301313624,0.0,0.014982103248301798,0.002278412274566494,0.0010472910583120964
wtd_std_fie,0.019865072529128804,0.005127203421032154,0.0,0.020245441201454543,0.002243884183925563,0.0005404905120328902
